objectId,label
14075,BANGKOK CAPITAL ASSET MANAGEMENT COMPANY LIMITED
14076,BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED
14077,BANGKOK GENOMICS INNOVATION PUBLIC COMPANY LIMITED
14078,BANGKOK INDUSTRIAL GAS COMPANY LIMITED
14079,BANGKOK INSURANCE PUBLIC COMPANY LIMITED
14130,Bangkok International Preparatory and Secondary School
14080,BANGKOK LAB AND COSMETIC PUBLIC COMPANY LIMITED
14081,BANGKOK MAGNET WIRE COMPANY LIMITED
14082,BANGKOK MEDIA & BROADCASTING COMPANY LIMITED
14083,BANGKOK METRO NETWORKS LIMITED
14084,"BANGKOK P V C (1996) CO., LTD."
14129,Bangkok Prep International School
14085,BANGKOK SOLAR POWER COMPANY LIMITED
14086,"BB CONTENT & MULTIMEDIA CO., LTD."
14087,BB TECHNOLOGY COMPANY LIMITED
14088,BE GOOD DO GOOD COMPANY LIMITED
14089,BEAUTYCLUB SHOPPING COMPANY LIMITED
14131,Beef Cluster Cooperative Ltd.
14090,BEGER COMPANY LIMITED
14091,BELI SERVICE COMPANY LIMITED
14092,"BELL TRANSPORT CO.,LTD."
14093,BELLUGG GROUP COMPANY LIMITED
14094,BELTON INDUSTRIAL (THAILAND) LTD.
14095,BEN TECH CHEMICAL COMPANY LIMITED
14132,Benjamarachutit School
14096,BEST T.J. GROUP COMPANY LIMITED
14097,"BETTER SYSTEM INTERNATIONAL CO.,LTD."
14098,BETTER WAY (THAILAND) COMPANY LIMITED
14099,BEXSYS COMPANY LIMITED
14100,"BEYOND WEALTH CO., LTD."
21277,Big Data Institute (Public Organization)
14101,"BIGL TECHNOLOGIES (THAILAND) CO., LTD."
14102,"BIO SCIENCE ANIMAL HEALTH CO.,LTD. PUBLIC COMPANY LIMITED"
14103,"BITCO DATA SCIENCES SOLUTIONS CO., LTD."
14104,"BITNANCE CO., LTD."
14105,BIZ FOLK COMPANY LIMITED
14106,"BLENDATA CO., LTD."
14107,BLUE FISH SOLUTION COMPANY LIMITED
14108,"BLUE STALLION CO., LTD."
